company,ticker,period,indicator,value,unit,source,note
Hewlett Packard Enterprise,HPE,4Q23,ai_revenue,0.4,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,1Q24,ai_revenue,0.9,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,2Q24,ai_revenue,1.3,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,3Q24,ai_revenue,1.5,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,4Q24,ai_revenue,0.9,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,1Q25,ai_revenue,1.0,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,2Q25,ai_revenue,1.6,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,3Q25,ai_revenue,1.0,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,4Q25,ai_revenue,1.1,USD_BN,blog_style_seed,HPE AI revenue approximate series
Hewlett Packard Enterprise,HPE,4Q22,ai_backlog,1.3,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,1Q23,ai_backlog,1.4,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,2Q23,ai_backlog,3.0,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,3Q23,ai_backlog,3.4,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,4Q23,ai_backlog,3.4,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,1Q24,ai_backlog,3.1,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,2Q24,ai_backlog,3.4,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,3Q24,ai_backlog,2.4,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,4Q24,ai_backlog,3.1,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,1Q25,ai_backlog,3.2,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,2Q25,ai_backlog,3.7,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,3Q25,ai_backlog,4.7,USD_BN,blog_style_seed,HPE AI backlog approximate series
Hewlett Packard Enterprise,HPE,4Q25,ai_backlog,5.3,USD_BN,blog_style_seed,HPE AI backlog approximate series
Oracle,ORCL,FY26Q4,rpo,638.0,USD_BN,oracle_results_verified,Oracle RPO from earnings materials/news verification
Oracle,ORCL,FY26Q4,iaas_revenue,5.8,USD_BN,oracle_results_verified,OCI/IaaS revenue
Oracle,ORCL,FY26Q4,cloud_revenue,9.913,USD_BN,oracle_results_verified,Cloud revenue
